instrument_sequence,train-aug,val-aug,test-aug,bg-train,bg-val,bg-test,source-train,source-val,source-test
AC-p1,162,0,0,84,22,24,18,0,0
AC-p2,0,0,0,0,0,0,0,0,0
AC-p3,0,0,0,0,0,0,0,0,0
AC-p4,333,0,0,0,0,0,37,0,0
AC-p5,0,306,0,14,2,4,0,34,0
GW-p1,306,0,0,0,0,0,34,0,0
GW-p2,207,0,207,0,0,0,23,0,23
GW-p3,0,0,0,0,0,0,0,0,0
GW-p4,576,0,0,39,5,5,64,0,0
GW-p5,702,0,0,0,0,0,78,0,0
PC-p1,0,531,0,43,3,4,0,59,0
PC-p2,360,0,0,24,4,2,40,0,0
PC-p3,468,0,0,8,2,0,52,0,0
PC-p4,288,0,0,0,0,0,32,0,0
PC-p5,306,0,0,17,5,4,34,0,0
SR-p1,918,0,0,94,8,8,102,0,0
SR-p2,0,0,657,8,8,4,0,0,73
SR-p3,513,0,0,105,25,20,57,0,0
SR-p4,369,0,0,42,9,9,41,0,0
SR-p5,333,0,0,23,0,7,37,0,0
