File,Contains tip,Conf of max conf box,Area of max conf box,Tip inside highest prediction,Tip inside any prediction,Prediction on empty image
BG_AC_p1_crop_12.png,False,0,0,nan,nan,False
BG_AC_p1_crop_13.png,False,0,0,nan,nan,False
BG_AC_p1_crop_colch_8.png,False,0,0,nan,nan,False
BG_AC_p1_crop_colch_9.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_11.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_12.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_13.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_colch_12.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_colch_13.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_1.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_10.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_3.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_colch_1.png,False,0.26718068,499.20706,nan,nan,True
BG_AC_p1_crop_hf_vf_colch_2.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_colch_3.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_2.png,False,0.27558443,350.16974,nan,nan,True
BG_AC_p1_crop_hf_vf_rot90_3.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_colch_4.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_rot90_colch_5.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_10.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_11.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_colch_4.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_colch_6.png,False,0,0,nan,nan,False
BG_AC_p1_crop_hf_vf_saferot_colch_7.png,False,0,0,nan,nan,False
BG_AC_p5_crop_hf_vf_colch_18.png,False,0,0,nan,nan,False
BG_AC_p5_crop_hf_vf_colch_19.png,False,0,0,nan,nan,False
BG_AC_p5_crop_hf_vf_rot90_18.png,False,0,0,nan,nan,False
BG_AC_p5_crop_hf_vf_rot90_19.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_2.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_49.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_2.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_3.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_4.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_6.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_47.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_51.png,False,0,0,nan,nan,False
