File,Contains tip,Conf of max conf box,Area of max conf box,Tip inside highest prediction,Tip inside any prediction,Prediction on empty image
BG_CTGW_p2_bg_hf_vf_2.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_49.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_2.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_colch_3.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_4.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_6.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_47.png,False,0,0,nan,nan,False
BG_CTGW_p2_bg_hf_vf_randrot_colch_51.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_colch_51.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_colch_53.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_colch_90.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_colch_92.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_59.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_65.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot90_67.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_52.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_87.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_91.png,False,0,0,nan,nan,False
BG_CTGW_p3_bg_hf_vf_randrot_93.png,False,0,0,nan,nan,False
BG_CTGW_p4_bg_hf_vf_randrot90_colch_51.png,False,0,0,nan,nan,False
BG_CTGW_p4_bg_hf_vf_randrot90_colch_53.png,False,0,0,nan,nan,False
BG_GW_p2_bg_hf_vf_randrot90_colch_65.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_48.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_colch_39.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_1.png,False,0.31443527,0.0010613229,nan,nan,True
BG_GW_p3_bg_hf_vf_randrot90_colch_3.png,False,0.29581282,0.0011170855,nan,nan,True
BG_GW_p3_bg_hf_vf_randrot90_colch_44.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_46.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_50.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_85.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot90_colch_87.png,False,0,0,nan,nan,False
BG_GW_p3_bg_hf_vf_randrot_39.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_1.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_3.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_89.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_colch_78.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_colch_79.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_colch_86.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_colch_87.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_vf_colch_38.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_vf_colch_39.png,False,0,0,nan,nan,False
BG_GW_p4_bg_hf_vf_randrot90_39.png,False,0,0,nan,nan,False
GWS_p4_colch_1.png,True,0,0,False,False,nan
GWS_p4_colch_10.png,True,0,0,False,False,nan
GWS_p4_colch_100.png,True,0.6453882,0.0011196205,True,True,nan
GWS_p4_colch_101.png,True,0,0,False,False,nan
GWS_p4_colch_102.png,True,0,0,False,False,nan
GWS_p4_colch_103.png,True,0.4538038,0.0013963758,True,True,nan
GWS_p4_colch_104.png,True,0,0,False,False,nan
GWS_p4_colch_105.png,True,0,0,False,False,nan
GWS_p4_colch_106.png,True,0,0,False,False,nan
GWS_p4_colch_107.png,True,0,0,False,False,nan
GWS_p4_colch_108.png,True,0.29831907,0.0010741036,True,True,nan
GWS_p4_colch_109.png,True,0,0,False,False,nan
GWS_p4_colch_11.png,True,0,0,False,False,nan
GWS_p4_colch_110.png,True,0,0,False,False,nan
GWS_p4_colch_111.png,True,0,0,False,False,nan
GWS_p4_colch_112.png,True,0,0,False,False,nan
GWS_p4_colch_113.png,True,0,0,False,False,nan
GWS_p4_colch_114.png,True,0,0,False,False,nan
GWS_p4_colch_115.png,True,0,0,False,False,nan
GWS_p4_colch_116.png,True,0,0,False,False,nan
GWS_p4_colch_117.png,True,0,0,False,False,nan
GWS_p4_colch_118.png,True,0.4732887,0.0035417862,False,False,nan
GWS_p4_colch_119.png,True,0,0,False,False,nan
GWS_p4_colch_12.png,True,0,0,False,False,nan
GWS_p4_colch_120.png,True,0,0,False,False,nan
GWS_p4_colch_121.png,True,0,0,False,False,nan
GWS_p4_colch_122.png,True,0,0,False,False,nan
GWS_p4_colch_123.png,True,0,0,False,False,nan
GWS_p4_colch_124.png,True,0,0,False,False,nan
GWS_p4_colch_125.png,True,0,0,False,False,nan
GWS_p4_colch_126.png,True,0,0,False,False,nan
GWS_p4_colch_127.png,True,0,0,False,False,nan
GWS_p4_colch_13.png,True,0,0,False,False,nan
GWS_p4_colch_14.png,True,0.27045107,0.0012466984,True,True,nan
GWS_p4_colch_15.png,True,0.47944984,0.0016139589,True,True,nan
GWS_p4_colch_16.png,True,0.53545094,0.001576132,True,True,nan
GWS_p4_colch_17.png,True,0.35057238,0.0012549849,True,True,nan
GWS_p4_colch_18.png,True,0.41206244,0.0010641934,True,True,nan
GWS_p4_colch_19.png,True,0.5510911,0.0011947104,True,True,nan
GWS_p4_colch_2.png,True,0,0,False,False,nan
GWS_p4_colch_20.png,True,0,0,False,False,nan
GWS_p4_colch_21.png,True,0.41605246,0.0009862697,True,True,nan
GWS_p4_colch_22.png,True,0,0,False,False,nan
GWS_p4_colch_23.png,True,0,0,False,False,nan
GWS_p4_colch_24.png,True,0.56511897,0.0011650206,True,True,nan
GWS_p4_colch_25.png,True,0,0,False,False,nan
GWS_p4_colch_26.png,True,0.60641265,0.0010722915,True,True,nan
GWS_p4_colch_27.png,True,0.5867465,0.0012155399,True,True,nan
GWS_p4_colch_28.png,True,0.6108656,0.0017126553,True,True,nan
GWS_p4_colch_29.png,True,0,0,False,False,nan
GWS_p4_colch_3.png,True,0,0,False,False,nan
GWS_p4_colch_30.png,True,0,0,False,False,nan
GWS_p4_colch_31.png,True,0.4784216,0.0009453205,True,True,nan
